episode,agent0_type,agent1_type,winner,agent0_score,agent1_score,total_moves,game_length,agent0_captures,agent1_captures,final_board_seeds,score_difference,winner_margin,agent0_epsilon,agent1_epsilon
4230,RandomAgent,MinimaxAgent,RandomAgent,25,0,225,225,25,0,23,25,25,N/A,N/A
4231,GreedyAgent,DQNSmall,GreedyAgent,28,20,83,83,28,20,4,8,8,N/A,0.995
4232,DQNSmall,MinimaxAgent,DQNSmall,27,3,163,163,27,3,18,24,24,0.995,N/A
4233,DQNLarge,DQNMedium,DQNMedium,6,29,82,82,6,29,13,23,23,0.995,0.995
4234,RandomAgent,QLearningAgent,RandomAgent,26,7,85,85,26,7,15,19,19,N/A,0.999
4235,DQNMedium,DQNMedium,DQNMedium,25,14,125,125,25,14,9,11,11,0.995,0.995
4236,GreedyAgent,MinimaxAgent,GreedyAgent,25,0,47,47,25,0,23,25,25,N/A,N/A
4237,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
4238,DQNMedium,MinimaxAgent,DQNMedium,25,4,201,201,25,4,19,21,21,0.995,N/A
4239,RandomAgent,DQNLarge,DQNLarge,13,26,102,102,13,26,9,13,13,N/A,0.995
4240,DQNSmall,QLearningAgent,QLearningAgent,19,29,108,108,19,29,5,10,10,0.995,0.999
4241,MinimaxAgent,HeuristicAgent,HeuristicAgent,16,32,46,46,16,32,17,16,16,N/A,N/A
4242,HeuristicAgent,DQNLarge,HeuristicAgent,41,7,49,49,41,7,39,34,34,N/A,0.995
4243,QLearningAgent,DQNMedium,QLearningAgent,26,19,117,117,26,19,3,7,7,0.999,0.995
4244,DQNMedium,DQNLarge,DQNMedium,25,8,109,109,25,8,15,17,17,0.995,0.995
4245,QLearningAgent,HeuristicAgent,HeuristicAgent,10,38,100,100,10,38,23,28,28,0.999,N/A
4246,MinimaxAgent,DQNMedium,MinimaxAgent,33,2,33,33,33,2,13,31,31,N/A,0.995
4247,DQNMedium,DQNLarge,DQNMedium,26,15,77,77,26,15,7,11,11,0.995,0.995
4248,RandomAgent,RandomAgent,RandomAgent,28,5,49,49,28,5,15,23,23,N/A,N/A
4249,MinimaxAgent,QLearningAgent,MinimaxAgent,40,8,27,27,40,8,29,32,32,N/A,0.999
4250,RandomAgent,DQNMedium,DQNMedium,16,26,98,98,16,26,6,10,10,N/A,0.995
4251,DQNLarge,MinimaxAgent,DQNLarge,25,11,89,89,25,11,12,14,14,0.995,N/A
4252,HeuristicAgent,RandomAgent,HeuristicAgent,40,8,49,49,40,8,34,32,32,N/A,N/A
4253,RandomAgent,MinimaxAgent,RandomAgent,25,2,121,121,25,2,21,23,23,N/A,N/A
4254,DQNSmall,RandomAgent,RandomAgent,13,35,102,102,13,35,13,22,22,0.995,N/A
4255,QLearningAgent,DQNMedium,QLearningAgent,27,21,137,137,27,21,3,6,6,0.999,0.995
4256,QLearningAgent,GreedyAgent,GreedyAgent,3,26,42,42,3,26,19,23,23,0.999,N/A
4257,MinimaxAgent,DQNLarge,MinimaxAgent,28,4,35,35,28,4,16,24,24,N/A,0.995
4258,RandomAgent,MinimaxAgent,RandomAgent,26,3,143,143,26,3,19,23,23,N/A,N/A
4259,MinimaxAgent,DQNSmall,MinimaxAgent,48,0,33,33,48,0,40,48,48,N/A,0.995
4260,RandomAgent,DQNMedium,RandomAgent,25,20,121,121,25,20,3,5,5,N/A,0.995
4261,DQNLarge,HeuristicAgent,DQNLarge,37,11,171,171,37,11,13,26,26,0.995,N/A
